Full Form,Contraction
I am,I'm
You are,You're
He is / He has,He's
She is / She has,She's
It is / It has,It's
We are,We're
They are,They're
I will,I'll
You will,You'll
He will,He'll
She will,She'll
It will,It'll
We will,We'll
They will,They'll
I would / had,I'd
You would / had,You'd
He would / had,He'd
She would / had,She'd
It would / had,It'd
We would / had,We'd
They would / had,They'd
Is not,Isn't
Are not,Aren't
Was not,Wasn't
Were not,Weren't
Have not,Haven't
Has not,Hasn't
Had not,Hadn't
Will not,Won't
Would not,Wouldn't
Do not,Don't
Does not,Doesn't
Did not,Didn't
Cannot,Can't
Could not,Couldn't
Should not,Shouldn't
Might not,Mightn't
Must not,Mustn't
Need not,Needn't
Dare not,Daren't
Let us,Let's
That is / That has,That's
What is / What has,What's
Who is / Who has,Who's
Where is / Where has,Where's
When is,When's
Why is,Why's
How is,How's
There is / has,There's
Here is / has,Here's
It is,It's
This is,This's
Y'all are,Y'all're
